region,date,name
General Holidays,14-01-2022,Sankranthi/Pongal
General Holidays,26-01-2022,Republic day
General Holidays,01-03-2022,Mahashivarathri
General Holidays,02-04-2022,Ugadi
General Holidays,15-08-2022,Independence day
General Holidays,31-08-2022,Ganesha Chaturthi
General Holidays,05-10-2022,Vijayadashmi(Dasara)
General Holidays,24-10-2022,Narakachaturdashi
General Holidays,26-10-2022,Balipadyami(Diwali)
South Karnataka,01-11-2022,Kannada Rajyotsava
South Karnataka,15-04-2022,Good Friday
South Karnataka,12-08-2022,Varamahalakshmi
South Karnataka,30-08-2022,Gowri Habba
South Karnataka,04-10-2022,Ayudha pooja-Mahanavami
North Karnataka,01-11-2022,Kannada Rajyotsava
North Karnataka,18-03-2022,Holi
North Karnataka,02-08-2022,Nagarapanchami
North Karnataka,12-08-2022,Varamahalakshmi
North Karnataka,04-10-2022,Ayudha pooja/Mahanavami
Maharashtra,15-01-2022,Kanuma
Maharashtra,18-03-2022,Holi
Maharashtra,02-08-2022,Nagarapanchami
Maharashtra,11-08-2022,Raksha Bandhan
Maharashtra,19-08-2022,Janmashtami
Gujarat,15-01-2022,Kanuma
Gujarat,18-03-2022,Holi
Gujarat,11-08-2022,Raksha Bandhan
Gujarat,19-08-2022,Janmashtami
Gujarat,29-10-2022,Naagula Chaturdhi
Andhra Pradesh,01-01-2022,New Year Day
Andhra Pradesh,15-01-2022,Kanuma
Andhra Pradesh,11-08-2022,Raksha Bandhan
Andhra Pradesh,04-10-2022,Ayudha pooja/Mahanavami
Andhra Pradesh,29-10-2022,Naagula Chaturdhi
Telangana,01-01-2022,New Year Day
Telangana,15-01-2022,Kanuma
Telangana,25-07-2022,Bonalu
Telangana,11-08-2022,Raksha Bandhan
Telangana,04-10-2022,Ayudha pooja/Mahanavami
Tamil Nadu,01-01-2022,New Year Day
Tamil Nadu,15-01-2022,Kanuma
Tamil Nadu,14-04-2022,Tamil New Year
Tamil Nadu,15-04-2022,Good Friday
Tamil Nadu,04-10-2022,Ayudha pooja/Mahanavami
